FID	Area_WHS	Area_SSSI	Area_SPA	Area_SAC	Area_RAMSA	Area_NR	Area_NNR	Area_MPAdi	Area_MCA	Area_LNR	Area_COUNE	Area_CNTRY	Area_BIOSP	Area_BIOGE	Count_WW	Count_Air	Count_Bus	Count_Hotel	Sum_Rating	Count_CarPark	Count_TourOp	Count_train	Mean_Wild	Dist_Motorway	Dist_A_road	Dist_B_road	Dist_min_road	Area_NP	Area_PA	Dist_road	Count_Inf	Dist_Coast	Mean_Nat	Dist_Air	Dist_Bus	Dist_CarPark	Dist_Hotel	Dist_TourOp	Dist_Train	Pop_dens	Pop	PDist	PDist.1	
661	660	0	55.773163	85.81675842	11.06594001	0	0	0	0	0	0	0	0	0	0	94	0	2	0	0	0	0	0	127.9729655	0	0	0	0	0	94.14465675	0	2	0	207.1767588	73736.92973	0	3828.886049	196.888993	2990.73698	20037.57002	3.068896077	278.8927155	3005.475133	3005.475133
662	661	0	0.399448704	0	0	0	0	0	0	0	0	0	0	100	0	1	0	10	2	0	0	0	0	67.8136625	0	0	0	0	0	100	0	12	24469.90729	158.2470688	35482.16351	0	20903.79687	0	11074.02424	17362.31913	2.991468201	299.1468201	107337.7582	107337.7582
663	662	0	5.71272078	0.498037259	0.528909254	0.497699448	0	0	0	0	0	0	0	0	0	10	0	16	20	13.4	1	0	0	65.88413125	0	0	0	0	0	5.869742445	0	37	20209.14296	150.20135	17382.13527	0	0	0	12179.42392	8053.781692	17.29756165	1729.756165	67416.92716	67416.92716
664	663	0	0	0.448187727	0	0	0	0	0	0	0	0	0	0	0	8	0	2	2	0	0	0	0	61.27340824	0	3287.418565	0	0	0	0.448187727	0	3	0	166.9788832	2393.726154	0	19901.68186	0	6264.655003	101895.961	0	0	17077.3625	17077.3625
665	664	0	0.901313515	78.99059386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	113.2416565	0	0	0	1598.024354	0	79.89190738	0	1	0	194.5097996	86660.53839	2393.9892	11583.3256	0	11989.07831	12499.58625	0.757428461	69.29906082	13371.64492	13371.64492
666	665	0	10.27762368	0	10.02635163	0	0	0	0	0	0	0	0	0	0	8	0	2	2	0	0	0	0	73.86351875	0	0	5858.21391	0	100	100	0	4	47774.2679	176.8238938	51788.07085	0	4834.251789	0	11290.32711	24864.62695	4.808659515	480.8659515	57908.64545	57908.64545
667	666	0	0	0	78.46740524	0	0	0	0	0	0	0	0	59.62629384	0	10	0	0	8	0	0	0	0	88.02512578	0	4127.512895	0	0	0	100	0	8	0	205.0397177	60446.18718	3489.996389	20503.41806	0	4374.044414	30117.25609	0.485075847	10.21249187	0	0
668	667	0	5.764719396	0	62.72643306	0	0	0	0	0	0	0	0	51.05096572	0	8	0	14	23	17.3	0	1	0	83.55486648	0	0	6001.01193	0	0	67.97601552	0	38	0	177.9370476	90278.90242	0	7366.674292	0	0	9478.722863	8.762258906	355.2713203	0	0
669	668	0	3.406044477	0	3.053691505	0	0	68.61418959	0	0	0	0	0	0	0	17	0	0	6	8.7	2	0	0	101.0080125	0	0	3781.726037	0	100	100	0	8	16451.03683	198.7596438	39868.11759	547.9065364	0	0	12304.22828	11552.81671	4.988064232	498.8064232	60529.9739	60529.9739
670	669	0	0.187493378	0	16.8780942	0	0	0	15.9537658	12.92626358	0	0	0	0	0	74	0	15	41	33.3	0	1	0	74.55697973	0	0	0	0	0	20.83012717	0	57	0	169.8731539	85860.73677	0	5832.405681	0	0	2488.909243	2.526213827	158.2105007	0	0
671	670	0	12.33698446	10.64801709	3.705215926	12.34615602	0	0	0	0	0	0	0	0	0	58	0	23	3	0	0	0	0	81.44681766	0	2287.21391	0	0	0	12.44001075	0	26	0	193.2944034	21924.86383	0	4380.855949	0	16589.79754	93208.03154	3.089264886	61.0019474	7014.702484	7014.702484
672	671	0	36.11742989	6.609575334	24.12938687	0	0	0.227060916	0	0	0	0	0	22.1853631	0	6	0	14	3	0	0	0	0	104.9142	0	0	9392.090409	0	0	36.45923326	0	17	6773.432424	197.7779625	72343.09657	0	8469.169897	0	7236.846401	32090.56994	1.113223057	111.3223057	24308.16843	24308.16843
673	672	0	0.305392556	0.30539272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.0447059	3272.363127	4657.692266	6069.186035	3272.363127	0	0.305392638	3272.363127	0	0	212.0683962	70772.86568	4898.027261	45079.60743	7312.615523	12486.6057	260538.9408	0	0	19527.21383	19527.21383
674	673	0	62.97185622	34.46478292	62.23708211	0	0	0	0	0	0	0	0	0	0	10	0	2	1	4.7	0	0	0	99.76164375	0	0	6195.507578	0	0	83.2373109	0	3	9231.45646	232.14345	80693.22397	0	4239.313742	0	18130.64223	6176.27917	4.039513969	403.9513969	31414.3487	31414.3487
675	674	0	0.00482351	37.69500811	15.02468439	37.70772311	0	0	0	0.409690577	0	0	0	0	0	4	0	39	8	4.1	0	0	0	94.44793876	0	0	0	0	0	38.14413807	0	43	0	212.2852179	11887.68653	0	9099.442818	0	18016.63971	93502.66741	3.013538038	282.5145721	11423.7468	11423.7468
676	675	0	2.083650616	0	1.91300326	0	0	0	0	0	0	0	0	0	0	52	0	25	18	35.4	0	0	0	78.8935375	0	0	0	0	0	2.083650644	0	43	18457.78609	185.2891188	33194.54021	0	2960.058257	0	7853.481473	19260.8468	3.220371552	322.0371552	26230.21093	26230.21093
677	676	0	7.734620784	13.30214237	0	6.656670823	0	0	0	0	0	0	6.1120868	0	0	190	0	73	16	16.6	1	0	0	36.9511299	0	0	0	0	0	15.2020988	0	91	0	89.69751638	41221.14513	0	0	0	792.6334887	1628.156029	54.79311499	3406.776215	17058.23027	17058.23027
678	677	0	58.36330805	78.08560113	58.36330768	0	0	26.12390439	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	126.7534563	0	7536.024354	21039.27678	0	0	97.51676999	0	0	21004.97565	221.1329	53505.02347	4511.026618	3214.359773	3680.383632	13009.83954	19882.79903	2.050805931	205.0805931	29411.62807	29411.62807
